shelf,flat,col,row,acs,trt,days,date,hyp,int1,int2,int3,int4,petleng,leafleng,leafwid,leafnum,ndvi,lat,lon,alt,species,who
V,5,G,1,LA1317,L,28,5/5/08,31.4,5.16,11.96,17.66,15.61,24.49,54.49,61.88,6,132,-13.4167,-73.8417,2000,S. chmielewskii,Dan
V,5,H,1,LA361,L,28,5/5/08,34.89,10.83,12.74,14.9,7.45,24.73,44.89,55.23,6,111,-11.5667,-76.73,1840,S. habrochaites,Dan
V,5,I,1,LA1918,L,28,5/5/08,31.15,7.74,4.96,11.05,6.52,15.67,51.58,45.92,5,118,-14.2667,-74.9167,2920,S. habrochaites,Dan
V,5,A,2,LA1367,L,28,5/5/08,31.23,4.18,4.87,2.92,,15.81,19.77,16.32,4,111,-11.9008,-76.6633,1020,S. pennellii,Dan
V,5,C,2,LA1336,L,28,5/5/08,34.56,7,9.68,5.32,2.54,16,25.56,34.47,5,107,-16.2094,-73.6222,75,S. peruvianum,Dan
V,5,D,2,LA3795,L,28,5/5/08,37.23,3.55,9.08,3.71,1.91,10.57,35.23,30.46,5,123,-10.15,-77.35,3540,S. peruvianum,Dan
V,5,E,2,LA2773,L,28,5/5/08,58.16,13.65,0.57,21.51,17.19,17.21,35.8,40.73,6,115,-18.2667,-69.5833,3260,S. chilense,Dan
V,5,F,2,LA1028,L,28,5/5/08,21.71,0.06,4.35,6.84,7.59,11.8,55.96,51.78,6,131,-13.925,-73.025,2880,S. chmielewskii,Dan
V,5,G,2,LA1318,L,28,5/5/08,24.31,7.05,12.28,12.28,4.82,19.75,56.68,62.49,5,136,-13.6833,-72.9583,2300,S. chmielewskii,Dan
V,5,H,2,LA1361,L,28,5/5/08,39.05,8.16,4.72,16.83,19.55,22.11,53.47,58.72,6,111,-9.55,-77.8917,1340,S. habrochaites,Dan
V,5,I,2,LA1928,L,28,5/5/08,19.76,4.39,0.03,4.89,2.22,14.12,27.27,28.26,5,118,-14.3833,-74.8167,2940,S. habrochaites,Dan
V,5,A,3,LA1912,L,28,5/5/08,28.66,4.15,1.8,7.82,,24.9,37.96,50.54,4,106,-14.4492,-75.2203,620,S. pennellii,Dan
V,5,C,3,LA1474,L,28,5/5/08,63.98,11.21,8.16,10.7,10.37,34.55,47.11,56.39,6,113,-16.6072,-72.6964,27,S. peruvianum,Dan
V,5,E,3,LA2884,L,28,5/5/08,26.78,4.98,0.01,8.09,4.82,14.77,43.63,49.85,6,108,-23.6833,-68.0667,2390,S. chilense,Dan
V,5,F,3,LA1306,L,28,5/5/08,32.73,4.03,0.02,10.97,10.01,22.76,26.64,33.16,5,130,-12.95,-74.0167,3340,S. chmielewskii,Dan
