acs,species,trt,hyp,int1,int2,int3,int4
LA1691,S. habrochaites,L,25.41,5.59,1.32,3.93,1.94
LA2580,S. pennellii,L,10.32,2.2,1.21,NA,NA
LA1305,S. peruvianum,L,28.04,5.21,8.5,13.08,6.64
LA1973,S. peruvianum,L,63.55,21.94,14.35,17.45,5.82
LA2748,S. chilense,L,31.82,5.53,7.76,12.34,13.3
LA2931,S. chilense,L,51.02,11.49,2.95,10.36,9.49
LA1317,S. chmielewskii,L,42.25,5.48,11.56,18.41,14.56
LA361,S. habrochaites,L,38.78,11.54,20.11,14.18,9.8
LA1918,S. habrochaites,L,31.45,5.3,2.37,7.56,5.19
LA2167,S. habrochaites,L,31.16,7.53,7.76,6.19,10.38
LA1336,S. peruvianum,L,62.64,17.83,5.81,6.42,3.43
LA3795,S. peruvianum,L,40.28,4.33,5.13,4.11,NA
LA2773,S. chilense,L,14.42,0.74,0.74,0.5,NA
LA1361,S. habrochaites,L,38.39,5.53,9.97,15.05,13.44
LA1912,S. pennellii,L,25.67,8.6,3.97,6.69,1.72
LA3791,S. pennellii,L,58.95,8.1,0.05,3.7,2.53
LA1474,S. peruvianum,L,43.49,3.18,0.37,0.43,NA
LA1958,S. chilense,L,56.16,8.24,1.66,7.66,6.89
LA2884,S. chilense,L,32.66,9.38,2.54,9.58,6.07
LA1306,S. chmielewskii,L,27.49,3.75,0.04,15.69,14.69
LA2663,S. chmielewskii,L,32.04,4.91,9.79,6.49,7.2
LA1363,S. habrochaites,L,32.5,13.8,18.89,9.12,5.91
LA1954,S. peruvianum,L,36.44,9.27,3.49,7.25,5.98
LA1969,S. chilense,L,19.29,1.03,2.74,2.57,NA
LA2891,S. chilense,L,39.67,13.9,2.89,13.89,5.01
LA1316,S. chmielewskii,L,40.29,1.61,2.72,8.75,7.68
LA2695,S. chmielewskii,L,36.39,2.04,9.49,7.72,5.27
LA1691,S. habrochaites,L,37.96,4.59,0.59,5.7,0.87
LA2580,S. pennellii,L,19.91,3.66,2.12,3.87,1.94
LA1973,S. peruvianum,L,51.73,14.53,4.3,15.8,5.91
LA2748,S. chilense,L,25.77,11.07,8.71,16.29,7.98
LA2931,S. chilense,L,45.54,8.71,0.49,18.23,6.78
LA1317,S. chmielewskii,L,38.07,3.45,11.64,12.84,11.11
LA361,S. habrochaites,L,37.25,11.83,3.79,4.95,1.22
LA2167,S. habrochaites,L,19.5,8.58,9.88,8.96,9.54
LA1336,S. peruvianum,L,49.72,14.66,2.1,9.23,4.88
LA3795,S. peruvianum,L,40.65,6.36,4.41,6.16,4.37
